Student,ID,SIS User ID,SIS Login ID,Section,Challenge (Cafe) lab: Creating a Static Website for the Cafe (1937902), Challenge (Cafe)  lab: Creating a Dynamic Website for the Café (1937896),Guided lab: Introducing Amazon Elastic File System (Amazon EFS) (1937932),Guided lab: Creating an Amazon RDS Database (1937927),Challenge (Cafe) lab: Migrating a Database to Amazon RDS (1937905),Challenge (Cafe) lab: Creating a VPC Networking Environment for the Café (1937904),Guided lab: Creating a Virtual Private Cloud (1937925),Guided lab: Creating a VPC Peering Connection (1937923),Guided Lab: Exploring AWS Identity and Access Management (IAM) (1937915),Guided lab: Securing Applications by using Amazon Cognito (1937934),Guided lab: Creating a Highly Available Environment (1937921),Guided lab: Encrypting Data at Rest by Using AWS Encryption Options (1937929),Challenge (Café) lab: Creating a Scalable and Highly Available Environment for the Café (1937908),Guided lab: Automating Infrastructure with AWS CloudFormation (1937917),Challenge (Café) lab: Automating Infrastructure Deployment (1937907),Guided lab: Building Decoupled Applications by Using Amazon SQS (1937919),Guided lab: Implementing a Serverless Architecture on AWS (1937931),(Optional) Guided lab: Breaking a Monolithic Node.js Application into Microservices (1937897),Challenge (Café) lab: Implementing a Serverless Architecture for the Café (1937909),Capstone Project (1937900),Capstone Project (1937901),Guided Lab: Configuring Hybrid Storage and Migrating Data with AWS Storage Gateway S3 File Gateway (1937913),Module 3 Knowledge Check (1937954),Module 4 Knowledge Check (1937955),Module 5 Knowledge Check (1937957),Module 6 Knowledge Check (1937959),Module 7 Knowledge Check (1937961),Module 8 Knowledge Check (1937963),Module 9 Knowledge Check (1937965),Module 10 Knowledge Check (1937938),Module 11 Knowledge Check (1937940),Module 12 Knowledge Check (1937942),Module 13 Knowledge Check (1937944),Module 14 Knowledge Check (1937946),Module 15 Knowledge Check (1937948),Module 16 Knowledge Check (1937950),Academy Cloud Architecting Course Assessment (1937898),Module 2 Knowledge Check (1937952),Lab Assignments Current Points,Lab Assignments Final Points,Lab Assignments Current Score,Lab Assignments Unposted Current Score,Lab Assignments Final Score,Lab Assignments Unposted Final Score,Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score
    Points Possible,,,,,29.00,30.00,15.00,20.00,25.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,35.00,40.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
"Student_001, Francisco",student_001,,student_001_francisco@uni.edu.ar,AWS Academy Cloud Architecting [162284],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00
"Student_002, Abate",student_002,,student_002_abate@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,15.00,,,50.40,56.00,56.00,56.00,52.27,56.00,,42.00,,46.67,56.00,,,,,40.00,90.00,90.00,70.00,90.00,80.00,80.00,80.00,,,,,,,,,100.00,570.33,570.33,93.80,93.80,55.16,55.16,680.00,680.00,85.00,85.00,42.50,42.50,1250.33,1250.33,88.80,88.80,47.47,47.47
"Student_003, Abril",student_003,,student_003_abril@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,29.00,15.00,20.00,22.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,,40.00,,,,,,,,,,,,,,,,,883.00,883.00,99.55,99.55,85.40,85.40,0.00,0.00,,,0.00,0.00,883.00,883.00,99.55,99.55,33.52,33.52
"Student_004, Adriel",student_004,,student_004_adriel@uni.edu.ar,AWS Academy Cloud Architecting [162284],24.00,25.00,15.00,15.00,21.00,50.00,56.00,56.00,56.00,56.00,44.80,56.00,37.94,56.00,48.53,56.00,56.00,,40.00,,,40.00,90.00,90.00,90.00,100.00,70.00,90.00,80.00,80.00,80.00,80.00,,,,,,80.00,809.27,809.27,91.24,91.24,78.27,78.27,930.00,930.00,84.55,84.55,58.13,58.13,1739.27,1739.27,87.53,87.53,66.03,66.03
"Student_005, ALBERTO",student_005,,student_005_alberto@uni.edu.ar,AWS Academy Cloud Architecting [162284],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00
"Student_006, Alejo",student_006,,student_006_alejo@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,52.27,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,604.27,604.27,99.39,99.39,58.44,58.44,0.00,0.00,,,0.00,0.00,604.27,604.27,99.39,99.39,22.94,22.94
"Student_007, Alfredo",student_007,,student_007_alfredo@uni.edu.ar,AWS Academy Cloud Architecting [162284],27.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,52.27,56.00,,56.00,,46.67,49.00,,,,,40.00,90.00,,,,,,,,,,,,,,,,585.93,585.93,96.37,96.37,56.67,56.67,90.00,90.00,90.00,90.00,5.63,5.63,675.93,675.93,95.47,95.47,25.66,25.66
"Student_008, Alvarez",student_008,,student_008_alvarez@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,25.00,15.00,20.00,,,56.00,56.00,56.00,56.00,52.27,56.00,,56.00,,56.00,49.00,,,,,40.00,80.00,90.00,80.00,80.00,80.00,100.00,80.00,,,,,,,,88.00,70.00,622.27,622.27,97.53,97.53,60.18,60.18,748.00,748.00,83.11,83.11,46.75,46.75,1370.27,1370.27,89.09,89.09,52.02,52.02
"Student_009, Andrés",student_009,,student_009_andres@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,46.67,56.00,,,,,40.00,,,,,,,,,,,,,,,,,598.67,598.67,98.46,98.46,57.90,57.90,0.00,0.00,,,0.00,0.00,598.67,598.67,98.46,98.46,22.73,22.73
